fips,state,per_capita_income,total_employment,avg_annual_wage,elec_rate_cents_kwh,poverty_rate,unemployment_rate,pop_density,median_age,pct_bachelors
51175,VA,,3708.6666666666665,31651.666666666668,11.079100795898832,17.3,7.566666666666667,30.953700180464043,43.300000000000004,12.5
51063,VA,30971.333333333332,2847.0,26225.666666666668,10.714058865721642,12.8,6.333333333333333,39.775317671375404,43.86666666666667,18.933333333333334
51017,VA,42892.0,2160.6666666666665,31905.333333333332,11.058169557646426,13.9,6.566666666666666,8.96884995395583,46.26666666666667,13.633333333333335
51181,VA,34143.333333333336,2277.0,72595.66666666667,11.050733778183218,9.0,8.4,25.157525808182374,44.5,13.6
51179,VA,48485.0,36993.333333333336,45296.0,11.124312704948002,4.9,6.2,471.8510676498084,34.333333333333336,35.6
51051,VA,28360.666666666668,3707.0,39645.333333333336,10.635398836569701,20.4,10.366666666666667,48.18263524698063,43.43333333333334,9.166666666666666
51595,VA,,3781.0,26693.333333333332,11.044668644654392,33.0,11.266666666666666,844.7759752800308,39.4,14.9
51143,VA,,11547.666666666666,29329.666666666668,11.048680962519818,15.2,9.266666666666666,65.24197207507785,43.86666666666667,13.133333333333333
51133,VA,39112.333333333336,2564.6666666666665,30952.666666666668,11.059851188451322,9.3,8.633333333333333,64.84286848593757,53.06666666666666,22.233333333333334
51540,VA,,34886.0,43847.666666666664,11.044668644654392,27.3,5.6000000000000005,4172.702131120873,27.8,47.76666666666667
51520,VA,,11959.0,31060.666666666668,,22.4,8.133333333333333,1376.9714862870017,40.96666666666667,19.8
51101,VA,37484.666666666664,3361.0,39146.666666666664,11.078563954272488,7.8,6.8999999999999995,57.315663295729735,39.23333333333333,19.433333333333334
51001,VA,34247.333333333336,12920.666666666666,31532.666666666668,11.823409252757964,20.2,8.066666666666666,75.09249223451,44.199999999999996,17.666666666666668
51193,VA,34938.666666666664,3498.6666666666665,27457.333333333332,11.059851188451322,13.3,7.633333333333333,75.71608394454474,46.1,15.066666666666668
51790,VA,,11250.333333333334,30158.666666666668,11.044668644654392,15.3,7.133333333333333,1197.2389558232928,42.76666666666667,28.733333333333334
