fips,year,elec_rate_cents_kwh,res_sales_mwh,res_customers
47187,2017,10.996172599808151,,
47187,2018,11.154522079389709,,
47187,2019,11.234976399270892,,
47187,2020,11.039326073017916,,
47187,2021,11.255622184598941,,
47187,2022,12.394163732148654,,
47187,2023,,,
47187,2024,12.697624713514157,,
47189,2010,9.447033925172855,,
47189,2011,10.139695643233264,,
47189,2012,10.192606783069015,,
47189,2013,10.09963784450391,,
47189,2014,10.667757285168646,,
47189,2015,10.613292547287521,,
47189,2016,10.707685333065418,,
47189,2017,11.002020044199824,,
47189,2018,11.190022700097327,,
47189,2019,11.262045207621911,,
47189,2020,11.05642236358731,,
47189,2021,11.268752934387866,,
47189,2022,12.412463896097965,,
47189,2023,,,
47189,2024,12.747076288743552,,
48029,2010,9.748733425569785,,
48029,2011,9.801737094185563,,
48029,2012,9.91162844832626,,
48029,2013,10.337594909852253,,
48029,2014,10.642955381235932,,
48029,2015,10.632742578081064,,
48029,2016,10.581200931338083,,
48029,2017,10.84552840276224,,
48029,2018,10.802096616331418,,
48029,2019,10.57245245190017,,
48029,2020,10.57751546987602,,
48029,2021,10.916951140779759,,
48029,2022,11.932247834492784,,
48029,2023,,,
48029,2024,12.350288617003036,,
48135,2010,8.551256245338216,,
48135,2011,9.273064458854975,,
48135,2012,9.373296175026551,,
48135,2013,9.904889327818456,,
48135,2014,10.54955551142718,,
48135,2015,10.329873075920293,,
48135,2016,10.030431962825968,,
48135,2017,11.108980354258392,,
48135,2018,10.431254720375653,,
48135,2019,10.23079211343687,,
48135,2020,10.025935421775529,,
48135,2021,11.910667359674918,,
48135,2022,13.441620153725825,,
48135,2023,,,
48135,2024,13.352364853480413,,
48139,2010,10.4805484760607,,
48139,2011,10.07243484953126,,
48139,2012,9.268547055143404,,
48139,2013,9.318444519774971,,
48139,2014,10.322759601935104,,
48139,2015,9.240150542955176,,
48139,2016,9.245874475558507,,
48139,2017,9.84045625795351,,
48139,2018,9.620669373561052,,
48139,2019,9.57303515410598,,
48139,2020,9.417448482453418,,
48139,2021,10.505943736839072,,
48139,2022,14.113927493835556,,
48139,2023,,,
48139,2024,13.555861029690625,,
48141,2010,11.509993359864973,,
48141,2011,12.005481027843063,,
48141,2012,11.26409770977303,,
48141,2013,11.483573736914611,,
48141,2014,11.836662754127424,,
48141,2015,11.411680162346233,,
48141,2016,12.505535788595393,,
48141,2017,13.014536402063348,,
48141,2018,12.300710639292571,,
48141,2019,12.114482691505422,,
48141,2020,12.178823462497776,,
48141,2021,13.112317680768875,,
48141,2022,15.405139346589472,,
48141,2023,,,
48141,2024,13.608653578559052,,
48157,2010,,,
48157,2011,,,
48157,2012,,,
48157,2013,,,
48157,2014,,,
48157,2015,,,
48157,2016,,,
48157,2017,,,
48157,2018,,,
48157,2019,,,
48157,2020,,,
48157,2021,,,
48157,2022,,,
48157,2023,,,
48157,2024,,,
48187,2010,9.774041717210592,,
48187,2011,9.828925019817289,,
48187,2012,9.932341349552654,,
48187,2013,10.315161392686223,,
48187,2014,10.639200096103831,,
48187,2015,10.625186632113301,,
48187,2016,10.566229551096344,,
48187,2017,10.807449010787462,,
48187,2018,10.76918238718602,,
48187,2019,10.507232743905824,,
48187,2020,10.546052703616848,,
48187,2021,10.935060549839028,,
48187,2022,11.95175057564501,,
48187,2023,,,
48187,2024,12.32188387505939,,
48215,2010,10.318131003719325,,
48215,2011,9.905926757911255,,
48215,2012,9.245210325319766,,
48215,2013,9.792167346497616,,
48215,2014,10.424298398812509,,
48215,2015,9.187091845453297,,
48215,2016,9.013116922182933,,
48215,2017,9.170082873556536,,
48215,2018,9.442734019979264,,
48215,2019,9.382656232529452,,
48215,2020,9.461101378451893,,
48215,2021,10.024637335873166,,
48215,2022,11.376388909321323,,
48215,2023,,,
48215,2024,10.201386399556808,,
48251,2010,10.361496555966585,,
48251,2011,9.893809256428126,,
48251,2012,9.147450940896997,,
48251,2013,9.143144500737952,,
48251,2014,10.162059247610499,,
48251,2015,9.083390158347617,,
48251,2016,9.147972945867151,,
48251,2017,9.647730644619234,,
48251,2018,9.48752555549305,,
48251,2019,9.42609637258282,,
48251,2020,9.31178521333289,,
48251,2021,10.175271186787725,,
48251,2022,14.005861914351572,,
48251,2023,,,
48251,2024,13.444161968540413,,
48329,2010,8.548390209775198,,
48329,2011,9.269343286025737,,
48329,2012,9.373296175026551,,
48329,2013,9.904889327818456,,
48329,2014,10.54955551142718,,
48329,2015,10.329873075920293,,
48329,2016,10.030431962825968,,
48329,2017,11.108980354258392,,
48329,2018,10.431254720375653,,
48329,2019,10.229295167399403,,
48329,2020,10.025935421775529,,
48329,2021,11.910667359674918,,
48329,2022,13.441620153725825,,
48329,2023,,,
48329,2024,13.352364853480413,,
48339,2010,8.997820829246738,,
48339,2011,10.04561748948285,,
48339,2012,9.440394519930422,,
48339,2013,9.96612140097433,,
